customer_id,signup_date,segment,region
1,2022-01-01,Mid-Market,APAC
2,2022-01-08,Mid-Market,NA
3,2022-01-15,SMB,EMEA
4,2022-01-22,Enterprise,NA
5,2022-01-29,Mid-Market,APAC
6,2022-02-05,Enterprise,EMEA
7,2022-02-12,SMB,APAC
8,2022-02-19,Mid-Market,EMEA
9,2022-02-26,Enterprise,NA
10,2022-03-05,Mid-Market,APAC
11,2022-03-12,SMB,APAC
12,2022-03-19,Enterprise,EMEA
13,2022-03-26,SMB,APAC
14,2022-04-02,SMB,EMEA
15,2022-04-09,Mid-Market,EMEA
16,2022-04-16,Enterprise,EMEA
17,2022-04-23,SMB,EMEA
18,2022-04-30,SMB,NA
19,2022-05-07,Enterprise,EMEA
20,2022-05-14,SMB,APAC
21,2022-05-21,SMB,NA
22,2022-05-28,Enterprise,APAC
23,2022-06-04,Enterprise,NA
24,2022-06-11,Enterprise,EMEA
25,2022-06-18,Enterprise,NA
26,2022-06-25,Mid-Market,NA
27,2022-07-02,Enterprise,APAC
28,2022-07-09,Mid-Market,APAC
29,2022-07-16,Mid-Market,EMEA
30,2022-07-23,Mid-Market,NA
31,2022-07-30,SMB,NA
32,2022-08-06,Mid-Market,NA
33,2022-08-13,Mid-Market,EMEA
34,2022-08-20,SMB,EMEA
35,2022-08-27,SMB,EMEA
36,2022-09-03,SMB,EMEA
37,2022-09-10,Enterprise,EMEA
38,2022-09-17,SMB,APAC
39,2022-09-24,SMB,NA
40,2022-10-01,Mid-Market,NA
41,2022-10-08,SMB,NA
42,2022-10-15,Enterprise,NA
43,2022-10-22,SMB,NA
44,2022-10-29,Enterprise,NA
45,2022-11-05,SMB,NA
46,2022-11-12,SMB,NA
47,2022-11-19,SMB,APAC
48,2022-11-26,SMB,NA
49,2022-12-03,Enterprise,APAC
50,2022-12-10,Enterprise,EMEA
51,2022-12-17,Mid-Market,NA
52,2022-12-24,Enterprise,EMEA
53,2022-12-31,SMB,EMEA
54,2023-01-07,Mid-Market,EMEA
55,2023-01-14,Mid-Market,APAC
56,2023-01-21,Mid-Market,EMEA
57,2023-01-28,SMB,EMEA
58,2023-02-04,Enterprise,EMEA
59,2023-02-11,SMB,NA
60,2023-02-18,Mid-Market,NA
61,2023-02-25,SMB,APAC
62,2023-03-04,SMB,APAC
63,2023-03-11,Enterprise,NA
64,2023-03-18,Enterprise,APAC
65,2023-03-25,Mid-Market,NA
66,2023-04-01,SMB,EMEA
67,2023-04-08,SMB,EMEA
68,2023-04-15,Enterprise,APAC
69,2023-04-22,SMB,NA
70,2023-04-29,SMB,NA
71,2023-05-06,SMB,APAC
72,2023-05-13,Enterprise,NA
73,2023-05-20,Mid-Market,EMEA
74,2023-05-27,Mid-Market,APAC
75,2023-06-03,SMB,APAC
76,2023-06-10,Mid-Market,NA
77,2023-06-17,Enterprise,APAC
78,2023-06-24,Enterprise,NA
79,2023-07-01,Mid-Market,NA
80,2023-07-08,Mid-Market,NA
81,2023-07-15,SMB,NA
82,2023-07-22,Mid-Market,NA
83,2023-07-29,SMB,APAC
84,2023-08-05,SMB,EMEA
85,2023-08-12,Enterprise,EMEA
86,2023-08-19,Enterprise,APAC
87,2023-08-26,Enterprise,APAC
88,2023-09-02,Enterprise,EMEA
89,2023-09-09,Mid-Market,EMEA
90,2023-09-16,Enterprise,EMEA
91,2023-09-23,Mid-Market,EMEA
92,2023-09-30,Enterprise,EMEA
93,2023-10-07,Mid-Market,NA
94,2023-10-14,SMB,APAC
95,2023-10-21,Mid-Market,NA
96,2023-10-28,Mid-Market,EMEA
97,2023-11-04,Enterprise,EMEA
98,2023-11-11,Mid-Market,EMEA
99,2023-11-18,SMB,NA
100,2023-11-25,SMB,NA
