subscription_id,customer_id,start_date,end_date,plan
1,1,2022-01-01,2025-12-31,Pro
2,2,2022-01-08,2025-12-31,Basic
3,3,2022-01-15,2025-12-31,Basic
4,4,2022-01-22,2025-12-31,Pro
5,5,2022-01-29,2025-12-31,Basic
6,6,2022-02-05,2025-12-31,Enterprise
7,7,2022-02-12,2025-12-31,Enterprise
8,8,2022-02-19,2025-12-31,Enterprise
9,9,2022-02-26,2025-12-31,Enterprise
10,10,2022-03-05,2025-12-31,Pro
11,11,2022-03-12,2025-12-31,Pro
12,12,2022-03-19,2025-12-31,Pro
13,13,2022-03-26,2025-12-31,Enterprise
14,14,2022-04-02,2025-12-31,Enterprise
15,15,2022-04-09,2025-12-31,Basic
16,16,2022-04-16,2025-12-31,Basic
17,17,2022-04-23,2025-12-31,Enterprise
18,18,2022-04-30,2025-12-31,Enterprise
19,19,2022-05-07,2025-12-31,Enterprise
20,20,2022-05-14,2025-12-31,Enterprise
21,21,2022-05-21,2025-12-31,Basic
22,22,2022-05-28,2025-12-31,Enterprise
23,23,2022-06-04,2025-12-31,Basic
24,24,2022-06-11,2025-12-31,Enterprise
25,25,2022-06-18,2025-12-31,Enterprise
26,26,2022-06-25,2025-12-31,Enterprise
27,27,2022-07-02,2025-12-31,Basic
28,28,2022-07-09,2025-12-31,Basic
29,29,2022-07-16,2025-12-31,Pro
30,30,2022-07-23,2025-12-31,Enterprise
31,31,2022-07-30,2025-12-31,Pro
32,32,2022-08-06,2025-12-31,Pro
33,33,2022-08-13,2025-12-31,Basic
34,34,2022-08-20,2025-12-31,Basic
35,35,2022-08-27,2025-12-31,Pro
36,36,2022-09-03,2025-12-31,Enterprise
37,37,2022-09-10,2025-12-31,Basic
38,38,2022-09-17,2025-12-31,Enterprise
39,39,2022-09-24,2025-12-31,Enterprise
40,40,2022-10-01,2025-12-31,Pro
41,41,2022-10-08,2025-12-31,Pro
42,42,2022-10-15,2025-12-31,Pro
43,43,2022-10-22,2025-12-31,Pro
44,44,2022-10-29,2025-12-31,Basic
45,45,2022-11-05,2025-12-31,Basic
46,46,2022-11-12,2025-12-31,Pro
47,47,2022-11-19,2025-12-31,Basic
48,48,2022-11-26,2025-12-31,Pro
49,49,2022-12-03,2025-12-31,Enterprise
50,50,2022-12-10,2025-12-31,Enterprise
51,51,2022-12-17,2025-12-31,Enterprise
52,52,2022-12-24,2025-12-31,Pro
53,53,2022-12-31,2025-12-31,Enterprise
54,54,2023-01-07,2025-12-31,Basic
55,55,2023-01-14,2025-12-31,Enterprise
56,56,2023-01-21,2025-12-31,Enterprise
57,57,2023-01-28,2025-12-31,Enterprise
58,58,2023-02-04,2025-12-31,Basic
59,59,2023-02-11,2025-12-31,Pro
60,60,2023-02-18,2025-12-31,Basic
61,61,2023-02-25,2025-12-31,Pro
62,62,2023-03-04,2025-12-31,Pro
63,63,2023-03-11,2025-12-31,Enterprise
64,64,2023-03-18,2025-12-31,Pro
65,65,2023-03-25,2025-12-31,Basic
66,66,2023-04-01,2025-12-31,Basic
67,67,2023-04-08,2025-12-31,Pro
68,68,2023-04-15,2025-12-31,Enterprise
69,69,2023-04-22,2025-12-31,Enterprise
70,70,2023-04-29,2025-12-31,Basic
71,71,2023-05-06,2025-12-31,Enterprise
72,72,2023-05-13,2025-12-31,Pro
73,73,2023-05-20,2025-12-31,Pro
74,74,2023-05-27,2025-12-31,Basic
75,75,2023-06-03,2025-12-31,Pro
76,76,2023-06-10,2025-12-31,Basic
77,77,2023-06-17,2025-12-31,Pro
78,78,2023-06-24,2025-12-31,Basic
79,79,2023-07-01,2025-12-31,Enterprise
80,80,2023-07-08,2025-12-31,Pro
81,81,2023-07-15,2025-12-31,Pro
82,82,2023-07-22,2025-12-31,Basic
83,83,2023-07-29,2025-12-31,Basic
84,84,2023-08-05,2025-12-31,Pro
85,85,2023-08-12,2025-12-31,Basic
86,86,2023-08-19,2025-12-31,Pro
87,87,2023-08-26,2025-12-31,Enterprise
88,88,2023-09-02,2025-12-31,Basic
89,89,2023-09-09,2025-12-31,Pro
90,90,2023-09-16,2025-12-31,Enterprise
91,91,2023-09-23,2025-12-31,Enterprise
92,92,2023-09-30,2025-12-31,Pro
93,93,2023-10-07,2025-12-31,Basic
94,94,2023-10-14,2025-12-31,Pro
95,95,2023-10-21,2025-12-31,Enterprise
96,96,2023-10-28,2025-12-31,Pro
97,97,2023-11-04,2025-12-31,Basic
98,98,2023-11-11,2025-12-31,Enterprise
99,99,2023-11-18,2025-12-31,Pro
100,100,2023-11-25,2025-12-31,Basic
